#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-09-19T20:11:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ba2acb523c60	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/211/24&tab:{J/ApJS/211/24/table1}&key:source=J/ApJS/211/24/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/211/24/table1
#-order=I
#-out=KIC
#-out=Teff
#-out=log(g)
#-out=Mass
#-out=Prot
#-out=e_Prot
#-out=n_Prot
#
#
#RESOURCE=yCat_22110024
#Name: J/ApJS/211/24
#Title: Rotation periods of Kepler MS stars (McQuillan+, 2014)
#Table	J_ApJS_211_24_table1:
#Name: J/ApJS/211/24/table1
#Title: The rotation period measurements for the 34030 stars presented in this work
#Column	KIC	(I8)	Kepler Input Catalog identifier (Cat. V/133)	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	[3197/6499] Star effective temperature	[ucd=phys.temperature.effective]
#Column	log(g)	(F5.2)	[3.5/5.4] Star surface gravity (log)	[ucd=phot.sb]
#Column	Mass	(F7.4)	[0.2/1.3] Star mass (1)	[ucd=phys.mass]
#Column	Prot	(F6.3)	[0.2/70]? Rotation period	[ucd=time.period]
#Column	e_Prot	(F6.3)	[0/51]? Error in Prot	[ucd=stat.error]
#Column	n_Prot	(A3)	Period flag (4)	[ucd=meta.note]
KIC	Teff	log(g)	Mass	Prot	e_Prot	n_Prot
 2852669	4201	 4.39	 0.6231	12.270	 0.054	
 2859045	4220	 4.53	 0.6307	24.459	 0.090	
 2859114	3395	 4.98	 0.3179	38.698	 0.809	
 2860547	4120	 4.55	 0.5906	25.968	 0.129	
 2861126	3598	 4.86	 0.3895	16.134	 0.003	
 2861880	4106	 4.53	 0.5850	25.844	 0.149	
 2865225	4110	 4.59	 0.5866	27.452	 0.359	
 2969839	3685	 4.80	 0.4215	36.292	 0.424	
 2971272	3695	 4.81	 0.4253	17.206	 0.086	
 2971717	4258	 4.62	 0.6460	11.846	 0.165	
 2973297	4286	 4.45	 0.6573	25.092	 0.131	
 2973361	3632	 4.83	 0.4019	45.917	 0.546	
 2973500	3547	 4.89	 0.3710	19.597	 0.091	
 2973800	4249	 4.48	 0.6424	30.939	 0.199	
 2982913	4041	 4.51	 0.5591	18.590	 0.040	
 2984144	4242	 4.49	 0.6396	34.277	 0.571	
 2985366	4208	 4.37	 0.6259	 0.244	 0.006	
 2987754	4279	 4.57	 0.6545	21.995	 0.055	
 2988084	4348	 4.61	 0.6823	32.258	 0.134	
 2988458	3664	 4.81	 0.4137	17.658	 0.523	
 2989438	4370	 4.58	 0.6912	21.621	 0.155	
 2992347	4148	 4.49	 0.6018	31.286	 0.156	
 2992668	3726	 4.52	 0.4369	15.095	 0.072	SM1
 2994087	4286	 4.50	 0.6573	31.335	 0.048	
 2994746	4389	 4.37	 0.6989	38.466	 8.434	
 2995880	4338	 4.67	 0.6783	19.616	 0.021	
 2997195	4083	 4.58	 0.5758	16.085	 0.085	
 2998208	3567	 4.86	 0.3782	22.168	 0.204	
 3096944	3981	 4.72	 0.5353	43.328	 0.605	
 3099491	3522	 4.93	 0.3621	34.991	 0.510	
 3099533	3449	 4.92	 0.3365	39.259	 0.244	
 3099900	3601	 4.88	 0.3906	18.095	 0.087	
 3100994	4112	 4.59	 0.5874	31.992	 0.145	
 3101007	3901	 4.70	 0.5040	13.451	 0.156	
 3101129	4285	 4.42	 0.6569	27.394	 2.355	SM2
 3101830	4232	 4.61	 0.6355	24.516	 0.054	
 3102749	4058	 4.64	 0.5658	 8.163	 1.696	
 3102763	3522	 4.88	 0.3621	14.561	 0.036	
 3103752	3379	 4.94	 0.3125	 4.785	 0.014	
 3109825	3832	 4.38	 0.4772	13.318	 0.015	
 3109945	3417	 4.97	 0.3254	45.448	 1.057	
 3110319	4340	 4.63	 0.6791	16.643	 3.483	
 3110684	4219	 4.62	 0.6303	33.076	 0.633	
 3111995	3341	 4.97	 0.2998	37.751	 0.826	
 3112017	4156	 4.62	 0.6050	16.408	 0.024	
 3112821	4192	 4.40	 0.6194	11.387	 0.129	
 3112828	4288	 4.34	 0.6581	 9.949	 0.016	
 3112866	4156	 4.56	 0.6050	38.283	 1.516	
 3112890	4170	 4.52	 0.6106	 7.548	 0.162	
 3115879	3965	 4.63	 0.5290	37.107	 1.108	
 3116544	3792	 4.79	 0.4619	42.001	 9.764	
 3120513	4201	 4.50	 0.6231	31.812	 0.181	
 3120913	3751	 4.80	 0.4463	34.067	 0.130	
 3123647	4312	 4.77	 0.6678	14.361	 0.090	
 3130391	3916	 4.70	 0.5098	 1.228	 0.005	
 3216700	3897	 4.73	 0.5024	 4.271	 0.023	
 3218308	3920	 4.28	 0.5114	39.978	 7.897	
 3218997	3531	 4.85	 0.3653	38.682	 0.447	
 3219400	3965	 4.70	 0.5290	31.213	 0.947	
 3220742	3983	 4.70	 0.5361	14.992	 0.078	
 3221541	4147	 4.50	 0.6014	20.146	 0.060	
 3221915	4160	 4.61	 0.6066	36.570	 0.770	
 3222610	4097	 4.42	 0.5814	 4.910	 0.004	
 3228485	4204	 4.46	 0.6243	35.479	 0.705	
 3230797	4172	 4.63	 0.6114	39.636	 1.242	
 3231403	3563	 5.04	 0.3768	33.796	 0.406	
 3232979	4390	 4.56	 0.6993	11.070	 0.022	
 3233853	3846	 4.76	 0.4826	29.590	 0.245	
 3234193	4269	 4.55	 0.6505	32.023	 0.270	
 3234338	4151	 4.65	 0.6030	17.391	 0.208	
 3234506	4289	 4.51	 0.6585	13.433	 0.018	
 3235295	4106	 4.53	 0.5850	15.677	 0.194	
 3241079	4098	 4.64	 0.5818	13.303	 0.017	
 3244968	3998	 4.41	 0.5420	18.572	 0.125	
 3246721	3901	 4.43	 0.5040	30.062	 0.489	
 3322943	3963	 4.70	 0.5282	18.869	 0.049	
 3323808	3536	 4.14	 0.3671	31.165	 0.549	
 3323908	4259	 4.65	 0.6464	42.057	 0.270	
 3325677	4189	 4.56	 0.6182	33.419	 0.262	
 3326330	4028	 4.45	 0.5539	13.004	 0.146	
 3326413	4198	 4.67	 0.6218	30.998	 0.092	
 3327092	3456	 4.97	 0.3389	36.352	 1.354	
 3328210	4325	 4.67	 0.6731	33.872	 0.861	
 3328254	3509	 4.91	 0.3575	31.578	 0.316	
 3328711	4290	 4.61	 0.6589	32.512	 0.286	
 3329985	3401	 4.97	 0.3200	46.523	 0.840	
 3335194	3956	 4.72	 0.5255	12.810	 0.049	
 3336334	4108	 4.52	 0.5858	16.255	 0.160	
 3336483	4371	 4.59	 0.6916	30.595	 0.172	
 3339107	4214	 4.59	 0.6283	48.654	 1.450	SM1
 3342636	4069	 4.50	 0.5702	25.644	 0.084	
 3342894	4118	 4.53	 0.5898	14.092	 0.007	
 3343392	4058	 4.45	 0.5658	17.245	 0.187	
 3343664	4381	 4.61	 0.6957	22.704	 0.126	
 3343967	4214	 4.70	 0.6283	34.570	 0.309	
 3344220	3826	 4.77	 0.4749	15.656	 0.622	
 3344747	3876	 4.45	 0.4942	28.506	 0.053	
 3345985	4342	 4.69	 0.6799	10.565	 0.018	
 3347046	4216	 4.78	 0.6291	15.773	 0.055	
 3355476	4115	 4.34	 0.5886	12.228	 0.525	
 3356936	4084	 4.62	 0.5762	31.247	 0.334	
 3357261	4008	 4.49	 0.5460	39.139	 0.149	
 3424335	4138	 4.59	 0.5978	14.936	 0.143	
 3424832	4187	 4.63	 0.6174	19.535	 0.056	
 3425393	4368	 4.62	 0.6904	17.910	 3.605	
 3425850	3748	 4.78	 0.4452	17.362	 0.104	
 3426874	3742	 4.77	 0.4429	34.672	 0.212	
 3429369	4352	 4.52	 0.6840	17.347	 0.035	
 3430287	4349	 4.53	 0.6828	 0.469	 0.006	
 3431662	4229	 4.58	 0.6343	19.128	 0.023	
 3437392	4395	 4.47	 0.7013	32.621	 0.687	
 3438817	3825	 4.49	 0.4745	37.159	 1.498	
 3439126	4088	 4.32	 0.5778	 7.900	 0.003	
 3440357	4325	 4.62	 0.6731	20.453	 0.021	
 3441504	4273	 4.87	 0.6521	13.621	 0.084	
 3442034	3724	 4.51	 0.4361	40.417	 0.450	
 3442269	4309	 4.51	 0.6666	19.613	 0.274	
 3443137	3550	 4.87	 0.3721	35.534	 0.577	
 3444822	3475	 4.87	 0.3455	34.012	 7.099	
 3446150	4403	 4.49	 0.7046	11.855	 0.174	
 3446366	3999	 4.69	 0.5424	21.357	 0.187	
 3446966	4195	 4.33	 0.6206	37.221	 1.415	
 3448710	4168	 4.57	 0.6098	16.013	 1.666	
 3449953	3683	 4.35	 0.4208	40.955	 0.258	
 3449982	4389	 4.47	 0.6989	25.652	 0.298	
 3454793	3428	 4.90	 0.3292	 1.960	 0.011	
 3456068	4377	 4.64	 0.6941	39.212	 4.488	
 3456560	3430	 4.90	 0.3299	30.577	 0.322	
 3457337	3921	 4.54	 0.5118	18.321	 0.225	
 3459917	4091	 4.42	 0.5790	23.586	 0.134	
 3525783	3966	 4.68	 0.5294	 8.099	 0.006	
 3526312	4217	 4.50	 0.6295	25.005	 0.045	
 3526337	4364	 4.59	 0.6888	28.420	 0.385	
 3527038	3708	 4.81	 0.4301	40.883	 0.582	
 3527088	3757	 4.77	 0.4486	42.256	 0.349	
 3527281	4299	 4.54	 0.6626	11.004	 0.029	
 3527308	3689	 4.82	 0.4230	29.504	 0.654	
 3527979	4376	 4.60	 0.6937	17.421	 0.075	
 3528588	3646	 4.87	 0.4071	15.954	 0.099	
 3528986	4340	 4.38	 0.6791	22.128	 0.063	
 3530387	4315	 4.58	 0.6690	 0.540	 0.003	
 3530780	4253	 4.68	 0.6440	36.521	 0.777	
 3531176	3503	 4.92	 0.3554	21.537	 0.048	
 3532922	3395	 4.92	 0.3179	38.195	 0.747	
 3533109	4051	 4.51	 0.5630	21.441	 0.219	
 3533220	4222	 4.58	 0.6315	14.279	 0.022	
 3533437	3637	 5.00	 0.4037	30.320	 0.181	
 3534089	3484	 4.87	 0.3487	47.460	 0.454	
 3534276	4283	 4.43	 0.6561	14.253	 0.018	
 3539331	4310	 4.54	 0.6670	 1.541	 0.003	
 3539770	3682	 4.90	 0.4204	31.927	 0.331	
 3540472	3698	 4.81	 0.4264	41.629	 0.212	
 3541346	4194	 4.50	 0.6202	 0.911	 0.003	
 3541628	4367	 4.68	 0.6900	28.263	 0.160	
 3542117	3546	 4.87	 0.3707	22.776	 0.091	
 3542480	4212	 4.42	 0.6275	14.884	 0.043	
 3542520	4025	 4.59	 0.5527	20.713	 0.271	
 3543331	4210	 4.74	 0.6267	27.251	 0.306	
 3548062	4278	 4.65	 0.6541	11.374	 0.014	
 3548078	4313	 4.37	 0.6682	24.972	 0.195	
 3550668	3477	 4.87	 0.3462	45.399	 0.311	
 3554849	3596	 4.90	 0.3887	31.916	 0.216	
 3556011	3724	 4.43	 0.4361	23.039	 0.151	
 3556242	3667	 4.82	 0.4148	29.671	 0.953	
 3556533	4215	 4.54	 0.6287	 1.255	 0.004	
 3558162	3683	 4.91	 0.4208	29.484	 0.232	
 3558213	3740	 4.44	 0.4422	28.490	 0.233	
 3558789	3596	 4.94	 0.3887	31.637	 0.238	
 3626713	3877	 4.74	 0.4946	23.766	 0.198	
 3627030	4325	 4.54	 0.6731	33.472	 0.266	
 3627277	4233	 4.58	 0.6359	35.898	 0.562	
 3627704	3888	 4.71	 0.4989	41.977	 0.320	
 3628296	4285	 4.52	 0.6569	 6.737	 0.004	
 3629063	4064	 4.71	 0.5682	41.696	 0.452	
 3630402	4084	 4.44	 0.5762	27.394	 0.232	
 3631401	4107	 4.54	 0.5854	10.069	 0.101	
 3631844	3858	 4.74	 0.4873	39.309	 0.399	
 3634308	3731	 4.87	 0.4388	13.020	 0.106	
 3634402	3364	 4.96	 0.3075	47.476	 0.342	
 3640967	4221	 4.41	 0.6311	35.352	 1.499	
 3642661	4294	 4.62	 0.6605	34.573	 0.412	
 3643000	3886	 4.45	 0.4981	18.931	 0.061	
 3646734	3726	 4.47	 0.4369	14.702	 3.061	
 3648000	4168	 4.38	 0.6098	12.715	 0.103	
 3648289	4099	 4.79	 0.5822	23.831	 0.286	
 3648376	3405	 4.91	 0.3213	40.373	 0.717	
 3648712	4175	 4.37	 0.6126	26.158	 0.102	
 3650746	4394	 4.57	 0.7009	23.539	 0.090	
 3656048	4359	 4.54	 0.6868	24.324	 0.536	
 3656267	4313	 4.26	 0.6682	10.802	 0.469	
 3656293	4260	 4.58	 0.6468	29.555	 0.658	
 3658166	4366	 4.80	 0.6896	45.337	 0.259	SM2
 3658853	3969	 4.39	 0.5306	10.925	 0.012	
 3659328	4071	 4.44	 0.5710	17.456	 0.052	
 3659481	4194	 4.64	 0.6202	27.077	 0.801	
 3659811	3549	 4.90	 0.3718	17.267	 0.044	
 3660458	3426	 4.90	 0.3285	47.076	 1.337	
 3662790	4311	 4.66	 0.6674	17.531	 0.028	
 3727538	3830	 4.74	 0.4765	37.868	 2.286	
 3727878	3668	 4.79	 0.4152	23.058	 0.030	
 3729847	3955	 4.72	 0.5251	28.010	 0.068	
 3730371	3451	 5.01	 0.3372	41.747	 0.459	
 3730841	3934	 4.72	 0.5169	11.447	 0.023	
 3731429	3879	 4.55	 0.4954	23.035	 0.086	
 3731432	3780	 4.77	 0.4573	21.284	 0.267	
 3731563	4098	 4.52	 0.5818	 3.564	 0.003	
 3733547	4266	 4.61	 0.6492	23.615	 0.361	
 3733753	3701	 4.83	 0.4275	16.180	 0.198	
 3734260	4273	 4.76	 0.6521	43.778	 0.749	
 3734393	4359	 4.55	 0.6868	 8.937	 0.080	
 3736208	4091	 4.62	 0.5790	34.659	 0.133	
 3744112	4118	 4.66	 0.5898	14.811	 0.071	
 3745222	4235	 4.53	 0.6367	15.091	 0.130	
 3745742	3657	 4.88	 0.4111	17.958	 0.078	
 3748172	3989	 4.69	 0.5385	 1.054	 0.003	
 3748458	4360	 4.52	 0.6872	33.318	 0.519	
 3748728	4221	 4.73	 0.6311	28.161	 0.077	
 3748918	3746	 4.78	 0.4444	26.683	 0.142	
 3749207	4120	 4.58	 0.5906	 7.082	 0.010	
 3750594	4149	 4.75	 0.6022	24.465	 0.201	
 3751557	4065	 4.52	 0.5686	33.194	 0.177	
 3756034	3747	 4.70	 0.4448	40.327	 0.777	
 3756669	4113	 4.47	 0.5878	19.020	 0.053	
 3757251	3635	 4.83	 0.4030	15.768	 0.137	
 3757729	4263	 4.65	 0.6480	37.328	 0.172	
 3757788	3690	 4.82	 0.4234	26.048	 1.189	
 3758197	3818	 4.75	 0.4719	22.331	 0.190	
 3758610	4058	 4.69	 0.5658	14.249	 0.032	
 3760677	3655	 4.81	 0.4104	35.736	 0.178	
 3762903	3487	 4.90	 0.3497	44.591	 0.739	
 3765134	3552	 4.88	 0.3728	41.276	 0.569	
 3831534	3388	 4.92	 0.3155	37.226	 0.906	
 3831911	3856	 4.73	 0.4865	 1.838	 0.006	
 3832499	4318	 4.66	 0.6702	13.010	 0.023	
 3832957	3957	 4.72	 0.5259	17.921	 0.019	
 3834169	4198	 4.62	 0.6218	19.710	 0.071	
 3835071	3941	 4.72	 0.5196	37.427	 0.717	
 3836862	4312	 4.49	 0.6678	 8.479	 0.029	
 3837496	4195	 4.62	 0.6206	29.939	 0.318	
 3837507	3683	 4.79	 0.4208	29.141	 0.201	
 3838294	3512	 4.90	 0.3586	34.452	 0.675	
 3839850	3915	 4.71	 0.5094	43.062	 6.467	
 3847487	4211	 4.70	 0.6271	30.314	 0.174	
 3849447	4213	 4.73	 0.6279	31.084	 0.478	
 3852064	3854	 4.74	 0.4857	40.282	 0.882	
 3852116	4391	 4.61	 0.6997	 3.110	 0.003	
 3852447	4351	 4.70	 0.6836	15.316	 0.017	
 3853598	4155	 4.52	 0.6046	14.672	 0.015	
 3855009	4205	 4.67	 0.6247	20.989	 0.112	
 3859875	4369	 4.71	 0.6908	27.996	 1.994	
 3860761	4359	 4.63	 0.6868	23.969	 0.109	
 3868387	4267	 4.80	 0.6496	31.236	 0.898	
 3868940	3951	 4.71	 0.5235	43.575	 2.225	
 3869879	4199	 4.46	 0.6223	19.244	 0.299	
 3934090	3814	 4.74	 0.4703	 5.821	 0.023	
 3934593	3644	 4.82	 0.4063	33.144	 0.885	
 3935499	3837	 4.72	 0.4792	 5.227	 0.006	
 3935803	4273	 4.53	 0.6521	 1.688	 0.003	
 3935942	3521	 4.84	 0.3618	37.207	 0.189	
 3936562	4401	 4.57	 0.7038	33.995	 2.354	
 3938241	3769	 4.83	 0.4531	16.781	 0.058	
 3938944	3991	 4.68	 0.5393	31.906	 0.194	
 3939839	4346	 4.62	 0.6815	16.462	 0.047	
 3940002	4396	 4.59	 0.7017	27.088	 0.110	
 3940072	3523	 4.14	 0.3625	54.579	 0.769	
 3940372	3462	 4.85	 0.3410	19.640	 0.073	
 3941415	3795	 4.84	 0.4630	26.149	 0.191	
 3946894	3658	 4.81	 0.4115	39.309	 0.066	
